id,source,target,ingoing_observation_id,outgoing_observation_id
4049,1818,346,2297.0,2305.0
731,346,1,2306.0,2308.0
4,1,8408,,
17921,8408,1524,2312.0,2325.0
3430,1524,4386,2326.0,2329.0
9369,4386,1520,2334.0,2334.0
3422,1520,4851,2340.0,2355.0
10422,4851,1813,2356.0,2388.0
4038,1813,584,2390.0,2391.0
1244,584,1509,,
3397,1509,588,2404.0,2422.0
1254,588,4482,2423.0,2431.0
9584,4482,587,2437.0,2439.0
1253,587,8397,2440.0,2443.0
17895,8397,8398,,
